category,question,pass_signal,fail_signal,recommended_action,related_building_blocks
"durable_state","Do workflows credentials and executions need managed PostgreSQL with tested restore?","RPO RTO backup retention and restore owner are written down.","State only needs low-risk hobby durability or has no restore owner.","Stay on n8n Cloud VPS or verified PaaS until Postgres backup/restore is mature.","Cloud SQL; RDS; PostgreSQL"
"secrets","Do N8N_ENCRYPTION_KEY DB password and OAuth secrets need managed storage or rotation?","Secret Manager or Secrets Manager access policy is least-privilege and rotation is planned.","Secrets would be copied into plain env vars without ownership.","Use platform secrets first or design IAM before adopting hyperscaler secrets.","Secret Manager; AWS Secrets Manager"
"runtime_identity","Can the team explain deployer identity runtime service account and task role?","Cloud Run service account or ECS task role is scoped to required APIs only.","Runtime identity would use broad admin or default editor permissions.","Do not move to Stage 3 until IAM boundaries are reviewed.","Cloud Run service account; IAM roles; ECS task role"
"ingress_tls","Do you need managed ingress health checks TLS termination and target routing?","Health path custom domain TLS and WEBHOOK_URL are verified after deploy.","Only a single HTTPS domain is needed with no advanced routing.","Use Caddy or PaaS instead of ALB if routing needs are simple.","Cloud Run domain; ALB; target groups; Lightsail certificate"
"observability","Will someone maintain logs metrics dashboards and alerts?","Cloud Logging or CloudWatch dashboard alert owner and retention are defined.","Logs are enabled but nobody owns triage.","Keep architecture simpler and add minimal alerts before expanding.","Cloud Logging; CloudWatch Logs; Container Insights"
"scaling","Is autoscaling or worker separation based on measured execution volume?","Concurrency webhook burst and worker backlog data justify scaling.","Scaling is based on anxiety rather than measurement.","Use vertical scaling or paid PaaS until load evidence exists.","Cloud Run scaling; ECS service autoscaling; Fargate"
"cost_guardrails","Can compute database load balancer logs secrets egress and backup costs be estimated?","Monthly estimate budget alert tags and log retention exist.","No one can name the recurring cost drivers.","Pause hyperscaler adoption and create a cost model first.","Cloud Run; Cloud SQL; ALB; RDS; CloudWatch"
"operations","Are patch upgrade rollback backup restore and incident runbooks ready?","Runbooks are executable and have owners.","Architecture diagram exists without operational playbook.","Finish VPS/PaaS runbooks before adding building blocks.","EC2; ECS; RDS; CloudWatch; Secrets Manager"
"compliance","Are audit private networking IAM boundaries or data residency requirements explicit?","A requirement maps directly to GCP or AWS controls.","The motivation is brand preference instead of a control need.","Use simpler platforms until compliance requirements are concrete.","IAM; VPC; Cloud SQL; RDS; CloudWatch"
"team_skill","Can at least two people debug VPC security groups IAM target groups DB connections and logs?","One operator can execute and one reviewer can validate changes.","Only one person vaguely understands the console.","Choose n8n Cloud or low-maintenance PaaS until skills are covered.","VPC; security groups; ALB; CloudWatch; RDS"
"release_management","Do you need immutable revisions rolling deployment and rollback history?","Cloud Run revisions or ECS task definitions map to release process.","Manual SSH deploy is still acceptable and low-risk.","Stay with VPS or Cloud Run durable before ECS if orchestration is premature.","Cloud Run revisions; ECS task definitions; ECR"
"database_connections","Can the team manage DB connection limits under serverless/container scaling?","Connection pooling max instances and worker concurrency are sized.","Autoscaling could overwhelm PostgreSQL connections.","Limit scaling and tune DB before using multiple tasks.","Cloud SQL; RDS; ECS; Cloud Run"
"backup_restore","Has restore been tested from an actual backup or snapshot?","A staging restore drill succeeded and is documented.","Backup exists only as a checkbox.","Do not call the architecture production durable yet.","Cloud SQL backups; RDS automated backups; snapshots"
"webhook_reliability","Do public webhooks require stable always-on behavior and fast response?","Min instances or always-on capacity and alerting are justified by workflow impact.","Cold start or service sleep is acceptable.","Prefer simpler paid PaaS or n8n Cloud for low-volume workflows.","Cloud Run min instances; ALB; ECS desired count"
"exit_criteria","Can you name what would make you leave hyperscaler and return to simpler hosting?","Cost complexity and ownership thresholds are written down.","Adoption has no rollback criterion.","Define an exit plan before migration.","VPS; PaaS; n8n Cloud; Cloud Run; AWS"
