"metric","why_it_matters","healthy_signal","warning_signal","action","source_layer"
"cpu_usage_percent","Shows event loop, transform, browser automation, and worker CPU pressure","Sustained average below 60 percent during normal business traffic","Sustained 70 percent or higher with rising latency","Add vCPU, split heavy workflows, or move sustained concurrency to queue workers","runtime"
"memory_rss_percent","Shows binary data, large JSON, Code node, AI payload, and browser process memory pressure","High-water mark below 65 percent and returns to baseline after executions","Above 70 percent for long periods, rising trend, heap errors, or restarts","Change binary data mode, lower concurrency, add RAM, or isolate heavy workers","runtime"
"container_restart_count","Unexpected restarts reveal crash, memory, disk, or process failure","Zero unplanned restarts","Any unplanned restart in production","Inspect logs, check OOM symptoms, reduce concurrency, and fix binary-heavy flows","runtime"
"postgres_storage_bytes","Execution data and database binary mode can grow the state layer","Growth matches expected execution count and retention","Week-over-week growth exceeds forecast or backup window expands","Tune execution saving and pruning, move binary data out of DB, or increase DB storage","database"
"postgres_connection_count","Workers and webhook bursts can exhaust DB connections","Connection use stays well below configured DB limit","Connections approach limit or queries wait for connections","Reduce workers, tune pool, increase DB capacity, or add queue controls","database"
"postgres_cpu_percent","Database CPU reveals query, pruning, execution history, and backup pressure","Below 60 percent during normal operation","Sustained 70 percent or higher during ordinary workflow execution","Review execution data retention, slow workflows, backup timing, and DB tier","database"
"execution_count_per_hour","Frequency determines DB writes, logs, storage, and API usage","Count matches planned schedule and webhook volume","Unexpected spike or steady growth without capacity review","Review triggers, rate limit external inputs, and update sizing forecast","workflow"
"execution_duration_p95_seconds","Workflow duration shows whether external calls or internal processing are slowing","p95 stays stable across releases","p95 rises after new binary, AI, or browser steps","Profile slow workflows, add timeouts, split background work, or use workers","workflow"
"failed_execution_rate","Failures often reveal API limits, DB errors, memory pressure, or storage limits","Stable near zero for business-critical workflows","Error rate rises by workflow or node type","Inspect logs, identify failing node class, and fix capacity or retry settings","workflow"
"active_execution_count","Shows current concurrency pressure","Stays below planned concurrency limit","Active count rises with latency or memory pressure","Set N8N_CONCURRENCY_PRODUCTION_LIMIT or move to queue mode","workflow"
"waiting_executions_count","Wait states preserve execution data and are not pruned while waiting","Waiting count and age stay within policy","Waiting executions accumulate or old waiting executions carry large payloads","Review wait workflows, pass file references instead of files, and set age review","workflow"
"queue_depth","Queue mode backlog shows workers are not keeping up","Queue drains during normal traffic","Depth grows continuously during ordinary load","Add workers, separate heavy worker pools, or lower incoming concurrency","queue"
"worker_memory_percent","Worker memory isolates heavy workflow pressure","Worker memory returns to baseline after jobs","Memory stays high or spikes during specific worker classes","Separate AI/browser/binary workers and increase RAM for that pool","queue"
"worker_health_status","Health endpoints show whether workers are ready and connected to DB/Redis","Workers report healthy and ready","Worker health fails or readiness flaps","Check DB, Redis, encryption key, and worker resource limits","queue"
"webhook_latency_p95_seconds","External providers care about response time and timeout","p95 below provider timeout budget","p95 approaches provider timeout or retry behavior appears","Return early, move heavy processing async, and add concurrency controls","ingress"
"http_5xx_rate","HTTP errors reflect runtime, proxy, queue, or workflow failure","Near zero except planned maintenance","5xx rate rises during traffic bursts","Inspect ingress logs, n8n logs, worker logs, and DB/Redis health","ingress"
"binary_storage_bytes","Binary storage can fill filesystem, database, or object storage","Growth matches expected retention and pruning","Storage grows despite pruning or approaches quota","Confirm active binary mode, tune retention, add lifecycle, or externalize storage","binary-data"
"filesystem_disk_used_percent","Filesystem mode and temp files depend on durable disk capacity","Below 65 percent with predictable growth","Above 75 percent or fast growth in binaryData/temp paths","Clean temp files, tune pruning, expand volume, or move to S3/database mode","binary-data"
"object_storage_error_count","S3 or external storage errors break binary read/write after execution","No unexpected read/write errors","403, 404, timeout, or region errors appear","Check bucket policy, credentials, region, lifecycle, and mode migration","binary-data"
"ai_api_latency_p95_seconds","AI calls can dominate execution time even when local CPU is fine","p95 stable and within workflow timeout","Latency rises or retries increase","Add backoff, rate limit, fallback model, and dedicated AI workers","external-api"
"ai_api_error_rate","Model 429 and 5xx errors create retry storms and long executions","Low and stable error rate","429 or 5xx increases during bursts","Throttle, retry with backoff, lower concurrency, and monitor provider limits","external-api"
"browser_step_duration_seconds","Browser automation can be a heavyweight process class","Duration stable and process exits cleanly","Duration rises, timeouts occur, or processes remain","Limit browser concurrency, isolate worker pool, and clean temp files","browser-automation"
"browser_temp_storage_bytes","Screenshots, downloads, and caches can fill disk","Temp storage returns to baseline after jobs","Temp directory grows after completed executions","Add cleanup, set download directory policy, and monitor temp volume","browser-automation"
"backup_success_status","Backup is required for PostgreSQL and binary-heavy recovery","Latest scheduled backup succeeds","Backup failure or missing backup","Fix backup immediately and pause risky upgrades until backup is healthy","backup"
"backup_duration_seconds","Backup duration reveals database and binary data growth","Duration fits maintenance window","Duration expands into business hours or exceeds RTO assumption","Tune retention, split binary storage, increase backup resources, and test restore","backup"
"restore_drill_duration_seconds","Restore drill proves the plan works, not just backup creation","Measured restore time fits RTO","Restore is untested or takes longer than accepted downtime","Run restore drill, document gaps, and reduce retained data if needed","backup"
"log_error_rate","Logs are first evidence for DB, queue, storage, credentials, and API errors","No recurring unexpected error pattern","Same error repeats or grows by release/workflow","Create alert, assign owner, and connect to the relevant runbook","observability"
