"category","control","required_setting_or_evidence","pass_signal","fail_signal","source"
"ingress","HTTPS-only editor and webhook URLs","WEBHOOK_URL and N8N_EDITOR_BASE_URL use https, proxy TLS is valid","Editor, OAuth callbacks, and webhooks use HTTPS","Any public URL uses http or localhost","https://docs.n8n.io/hosting/configuration/configuration-examples/webhook-url/"
"ingress","Reverse proxy hop correctness","N8N_PROXY_HOPS matches actual proxy chain","n8n generates correct public URLs and reads forwarded headers correctly","Redirects, webhook URLs, or client IP handling are wrong","https://docs.n8n.io/hosting/configuration/configuration-examples/webhook-url/"
"cookies","Secure cookies","N8N_SECURE_COOKIE=true","Session cookies are HTTPS-only","Secure cookie disabled on public instance","https://docs.n8n.io/hosting/configuration/environment-variables/security/"
"cookies","SameSite cookies","N8N_SAMESITE_COOKIE=lax or stricter unless integration requires none","Cookie cross-site behavior is intentional","Cookie policy is unknown or too permissive","https://docs.n8n.io/hosting/configuration/environment-variables/security/"
"identity","Owner daily-use separation","Owner has separate member-level account for daily workflow editing","Owner account not used for ordinary workflow work","Owner edits daily workflows and can overwrite others","https://docs.n8n.io/user-management/account-types/"
"identity","User lifecycle","Monthly review of active, pending, and removed users","Former users removed and workflows or credentials transferred or deleted","Former users remain active or data ownership is unclear","https://docs.n8n.io/user-management/manage-users/"
"identity","SMTP for invites and password resets","N8N_EMAIL_MODE=smtp, N8N_SMTP_HOST, N8N_SMTP_SENDER, SSL or STARTTLS configured","Invites and password resets work without manual link sharing","Users cannot reset passwords or invite links are copied manually","https://docs.n8n.io/hosting/configuration/user-management-self-hosted/"
"identity","Invite link exposure","N8N_INVITE_LINKS_EMAIL_ONLY=true","Invite links delivered by email only","Invite URLs can be retrieved programmatically","https://docs.n8n.io/hosting/configuration/environment-variables/user-management-smtp-2fa/"
"identity","2FA availability","N8N_MFA_ENABLED=true","Users can enable MFA and policy says who must use it","MFA disabled on a public instance","https://docs.n8n.io/hosting/configuration/environment-variables/user-management-smtp-2fa/"
"identity","2FA enforcement where supported","N8N_MFA_ENFORCED_ENABLED=true with N8N_SECURITY_POLICY_MANAGED_BY_ENV=true when policy management is available","All users are required to use MFA","MFA is optional for privileged users","https://docs.n8n.io/hosting/configuration/environment-variables/security/"
"identity","SSO for organizations with IdP","SAML or OIDC configured on Business or Enterprise plan","Login lifecycle aligns with identity provider","Local accounts drift from company offboarding","https://docs.n8n.io/hosting/securing/set-up-sso/"
"secrets","Encryption key custody","N8N_ENCRYPTION_KEY fixed, backed up, and access-controlled","Credentials remain decryptable after restart and restore","Key is generated implicitly or not backed up","https://docs.n8n.io/hosting/configuration/configuration-examples/encryption-key/"
"secrets","External secret store","Enterprise deployments use 1Password, AWS Secrets Manager, Azure Key Vault, GCP Secret Manager, or HashiCorp Vault where appropriate","Secrets are centrally scoped and rotated","Secrets are copied into workflow text or broad env vars","https://docs.n8n.io/external-secrets/"
"runtime","Block env access in workflow code","N8N_BLOCK_ENV_ACCESS_IN_NODE=true","Code node and expressions cannot freely read environment variables","Workflow users can inspect env secrets","https://docs.n8n.io/hosting/configuration/environment-variables/security/"
"runtime","Restrict file access","N8N_BLOCK_FILE_ACCESS_TO_N8N_FILES=true and N8N_RESTRICT_FILE_ACCESS_TO set where needed","Workflow file access is constrained","Workflow can read arbitrary sensitive files","https://docs.n8n.io/hosting/configuration/environment-variables/security/"
"runtime","SSRF protection","N8N_SSRF_PROTECTION_ENABLED=true and blocked ranges include default","HTTP-capable nodes cannot reach private or metadata ranges unless allowed","Workflows can query internal networks or metadata services","https://docs.n8n.io/hosting/configuration/environment-variables/ssrf-protection/"
"api","Disable unused public REST API","N8N_PUBLIC_API_DISABLED=true when API is not required","Unused API surface is closed","Public API remains enabled without owner","https://docs.n8n.io/hosting/securing/disable-public-api/"
"api","Disable API playground","N8N_PUBLIC_API_SWAGGERUI_DISABLED=true when not needed","Interactive API docs are not exposed publicly","Playground is exposed on public instance","https://docs.n8n.io/hosting/securing/disable-public-api/"
"nodes","Exclude high-risk nodes","NODES_EXCLUDE includes executeCommand and other organization-risky nodes","Users cannot add blocked host-level nodes","Untrusted users can execute host commands or risky local file operations","https://docs.n8n.io/hosting/configuration/environment-variables/nodes/"
"nodes","Community node supply chain","N8N_COMMUNITY_PACKAGES_ENABLED=false or N8N_UNVERIFIED_PACKAGES_ENABLED=false unless explicitly governed","Community node risk is consciously accepted and logged","Unverified npm code can be installed without review","https://docs.n8n.io/integrations/community-nodes/risks/"
"audit","Security audit cadence","n8n audit runs after hardening changes and at least monthly","Findings for credentials, database, filesystem, nodes, and instance are tracked","Outdated instance or unprotected webhooks go unnoticed","https://docs.n8n.io/hosting/securing/security-audit/"
"data","Sensitive execution data policy","Redaction and execution retention are configured for sensitive workflows","Sensitive payloads are not retained longer than needed","Execution history becomes a sensitive data warehouse","https://docs.n8n.io/hosting/securing/overview/"
"webhook","Webhook authentication and path hygiene","Random paths, shared secret, provider signature, HMAC, or rate limit exists for public webhooks","Public webhook cannot be trivially guessed or abused","Webhook path is simple and unauthenticated","https://docs.n8n.io/hosting/securing/security-audit/"
"operations","Backup and restore before security changes","Week 14 backup and restore drill pass before public instance upgrade","Rollback and full restore are available","Security patch can break production without recovery path","https://docs.n8n.io/hosting/installation/updating/"
"operations","Patch cadence","Weekly release note triage, critical 24-48h, high 7 days, routine 30 days","Public instance remains inside update SLA","Instance remains outdated with no recorded mitigation","https://docs.n8n.io/hosting/installation/updating/"
"operations","Monitoring and logs","HTTP 5xx, failed executions, restarts, audit findings, and login anomalies are reviewed","Incidents become visible quickly","Security and runtime failures are discovered by users","https://docs.n8n.io/hosting/securing/security-audit/"
